step, time, x, y, vx, vy, ax, ay
40, 40, 398184.2762293513, 6771891.230235548, 9948.073430323127, -346.6002745323236, -0.5084301593974939,-8.64683500367048
41, 41, 408131.84122951503, 6771535.983126012, 9947.56500016373, -355.2471095359941, -0.5210774043129603,-8.645476870095134
42, 42, 418078.88515227445, 6771172.090539605, 9947.043922759416, -363.89258640608926, -0.5337199333845521,-8.644085232340455
43, 43, 428025.3953551005, 6770799.553867967, 9946.510202826032, -372.5366716384297, -0.5463576320972453,-8.642660112695822
44, 44, 437971.3592002944, 6770418.374536215, 9945.963845193934, -381.1793317511255, -0.5589903860588701,-8.641201533982686
45, 45, 447916.7640551023, 6770028.55400293, 9945.404854807875, -389.8205332851082, -0.5716180810029844,-8.639709519553719
46, 46, 457861.5972918292, 6769630.093760125, 9944.833236726872, -398.4602428046619, -0.5842406027917437,-8.638184093291995
47, 47, 467805.84628795326, 6769222.995333227, 9944.24899612408, -407.0984268979539, -0.59685783741876,-8.636625279610094
48, 48, 477749.49842623994, 6768807.26028105, 9943.652138286661, -415.735052177564, -0.6094696710119574,-8.635033103449214
49, 49, 487692.5410948556, 6768382.890195768, 9943.04266861565, -424.3700852810132, -0.6220759898364221,-8.633407590278296
50, 50, 497634.9616874814, 6767949.886702897, 9942.420592625813, -433.0034928712915, -0.6346766802972402,-8.631748766093047
51, 51, 507576.7476034269, 6767508.25146126, 9941.785915945515, -441.6352416373845, -0.6472716289423355,-8.630056657415038
52, 52, 517517.8862477435, 6767057.986162965, 9941.138644316572, -450.26529829479955, -0.6598607224652947,-8.62833129129072
